,eng,deu,nld,fin,fra,ita,spa,por,rus,heb,arb,cmn
eng,0.0,0.3277,0.5687,0.2736,0.427,0.5687,0.3433,0.5687,0.2804,0.5687,0.5687,0.39
deu,0.3277,0.0,0.5456,0.1864,0.2617,0.5456,0.4788,0.5456,0.3333,0.5456,0.5456,0.3277
nld,0.5687,0.5456,0.0,0.5687,0.5456,0.0002,0.5922,0.0002,0.6162,0.0002,0.0002,0.5687
fin,0.2736,0.1864,0.5687,0.0,0.3277,0.5687,0.4477,0.5687,0.2804,0.5687,0.5687,0.2736
fra,0.427,0.2617,0.5456,0.3277,0.0,0.5456,0.4788,0.5456,0.3333,0.5456,0.5456,0.427
ita,0.5687,0.5456,0.0002,0.5687,0.5456,0.0,0.5922,0.0002,0.6162,0.0002,0.0002,0.5687
spa,0.3433,0.4788,0.5922,0.4477,0.4788,0.5922,0.0,0.5922,0.3613,0.5922,0.5922,0.4477
por,0.5687,0.5456,0.0002,0.5687,0.5456,0.0002,0.5922,0.0,0.6162,0.0002,0.0002,0.5687
rus,0.2804,0.3333,0.6162,0.2804,0.3333,0.6162,0.3613,0.6162,0.0,0.6162,0.6162,0.4054
heb,0.5687,0.5456,0.0002,0.5687,0.5456,0.0002,0.5922,0.0002,0.6162,0.0,0.0002,0.5687
arb,0.5687,0.5456,0.0002,0.5687,0.5456,0.0002,0.5922,0.0002,0.6162,0.0002,0.0,0.5687
cmn,0.39,0.3277,0.5687,0.2736,0.427,0.5687,0.4477,0.5687,0.4054,0.5687,0.5687,0.0
